ConditionRating,OriginalPrice,Vendor,Model,RAM,ROM,UsageTime,Warranty,DentsRating,ScratchesRating,CameraWorking,ScreenCracks,DIsplayWorks,PredictedPrice
3,32000,Xiaomi,Poco X3 Pro,6,128,2,No,2,2,Yes,No,Yes,20000
3,17000,Samsung,galaxy ,4,64,1,Yes,1,1,Yes,Yes,Yes,10000
3,89000,iphone,iphone 11,6,128,1,No,1,1,Yes,No,Yes,50000
4,48K,vivo,Vivo v20,8,128,1,No,0,0,Yes,No,Yes,35000
4,32000,Samsung,Samsung F23,6,128,1,Yes,0,0,Yes,Yes,Yes,30000
2,28000,Samsung,Samsung Galaxy A30,4,64,4,No,0,0,Yes,Yes,Yes,15000
4,42510,Samsung,Samsung galaxy a32,8,128,2,No,0,0,Yes,No,Yes,35000
3,25500,Redmi,Redmi note 9,6,128,3,No,0,0,Yes,No,Yes,18000
2,17000,Samsung,J7 Nxt,2,16,4,No,0,3,Yes,No,Yes,9000
3,34000,Xiaomi,Redminote10pro,8,128,1,Yes,0,0,Yes,No,Yes,2800
3,36000,Samsung,Samsung Galaxy A50,4,64,2.583,No,0,0,Yes,No,Yes,16000
2,I don't know ???Å,Xiaomi,Redmi Note 8 Pro,6,128,2,No,2,3,Yes,No,Yes,20000
3,27000,Xiaomi,Redmi note 8 pro,6,128,3,No,0,1,Yes,No,Yes,15000
2,14000,Xiaomi,C2,4,64,3,No,1,2,No,Yes,Yes,9000
